Ville,Categorie,Difference de salaire (%)
Ambérieu-en-Bugey,Cadre,11.75
Ambérieu-en-Bugey,Profession,11.92
Ambérieu-en-Bugey,Employé,3.85
Ambérieu-en-Bugey,Ouvrier,8.49
Ambronay,Cadre,9.93
Ambronay,Profession,6.98
Ambronay,Employé,2.37
Ambronay,Ouvrier,9.43
Arbent,Cadre,36.01
Arbent,Profession,17.06
Arbent,Employé,.46
Arbent,Ouvrier,7.69
Attignat,Cadre,10.72
Attignat,Profession,8.9
Attignat,Employé,8.44
Attignat,Ouvrier,10.14
Bâgé-Dommartin,Cadre,8.92
Bâgé-Dommartin,Profession,9.61
Bâgé-Dommartin,Employé,5.41
Bâgé-Dommartin,Ouvrier,6.54
Balan,Cadre,1.89
Balan,Profession,6.27
Balan,Employé,5.26
Balan,Ouvrier,5.73
Bellignat,Cadre,6.29
Bellignat,Profession,5.49
Bellignat,Employé,2.37
Bellignat,Ouvrier,6.4
Béligneux,Cadre,5.31
Béligneux,Profession,5.12
Béligneux,Employé,3.29
Béligneux,Ouvrier,4.35
Valserhône,Cadre,8.74
Valserhône,Profession,8.36
Valserhône,Employé,3.0
Valserhône,Ouvrier,9.71
Belley,Cadre,8.18
Belley,Profession,6.32
Belley,Employé,7.25
Belley,Ouvrier,7.32
Beynost,Cadre,12.31
Beynost,Profession,8.87
Beynost,Employé,.0
Beynost,Ouvrier,8.44
La Boisse,Cadre,9.09
La Boisse,Profession,6.89
La Boisse,Employé,5.63
La Boisse,Ouvrier,7.62
Bourg-en-Bresse,Cadre,10.55
Bourg-en-Bresse,Profession,3.68
Bourg-en-Bresse,Employé,2.46
Bourg-en-Bresse,Ouvrier,10.88
Cessy,Cadre,15.69
Cessy,Profession,7.8
Cessy,Employé,1.38
Cessy,Ouvrier,11.11
Ceyzériat,Cadre,11.49
Ceyzériat,Profession,7.12
Ceyzériat,Employé,6.98
Ceyzériat,Ouvrier,7.32
Chalamont,Cadre,17.0
Chalamont,Profession,8.71
Chalamont,Employé,9.33
Chalamont,Ouvrier,9.52
Château-Gaillard,Cadre,14.56
Château-Gaillard,Profession,11.19
Château-Gaillard,Employé,8.37
Château-Gaillard,Ouvrier,9.59
Châtillon-sur-Chalaronne,Cadre,15.25
Châtillon-sur-Chalaronne,Profession,8.83
Châtillon-sur-Chalaronne,Employé,4.76
Châtillon-sur-Chalaronne,Ouvrier,3.57
Collonges,Cadre,3.41
Collonges,Profession,12.54
Collonges,Employé,1.38
Collonges,Ouvrier,4.19
Bresse Vallons,Cadre,7.77
Bresse Vallons,Profession,10.79
Bresse Vallons,Employé,7.96
Bresse Vallons,Ouvrier,7.69
Crozet,Cadre,26.92
Crozet,Profession,14.98
Crozet,Employé,.47
Crozet,Ouvrier,22.11
Culoz,Cadre,27.36
Culoz,Profession,8.09
Culoz,Employé,3.88
Culoz,Ouvrier,9.42
Dagneux,Cadre,7.93
Dagneux,Profession,8.11
Dagneux,Employé,4.5
Dagneux,Ouvrier,5.22
Divonne-les-Bains,Cadre,26.63
Divonne-les-Bains,Profession,4.23
Divonne-les-Bains,Employé,3.7
Divonne-les-Bains,Ouvrier,3.51
Échenevex,Cadre,18.39
Échenevex,Profession,6.76
Échenevex,Employé,2.13
Échenevex,Ouvrier,1.27
Fareins,Cadre,21.24
Fareins,Profession,7.74
Fareins,Employé,7.14
Fareins,Ouvrier,8.84
Feillens,Cadre,7.69
Feillens,Profession,3.18
Feillens,Employé,5.56
Feillens,Ouvrier,6.86
Ferney-Voltaire,Cadre,.2
Ferney-Voltaire,Profession,6.62
Ferney-Voltaire,Employé,1.01
Ferney-Voltaire,Ouvrier,9.0
Foissiat,Cadre,12.24
Foissiat,Profession,10.65
Foissiat,Employé,1.49
Foissiat,Ouvrier,6.67
Frans,Cadre,4.5
Frans,Profession,5.72
Frans,Employé,3.17
Frans,Ouvrier,6.91
Gex,Cadre,11.01
Gex,Profession,3.25
Gex,Employé,1.92
Gex,Ouvrier,8.65
Plateau d'Hauteville,Cadre,18.81
Plateau d'Hauteville,Profession,5.15
Plateau d'Hauteville,Employé,2.56
Plateau d'Hauteville,Ouvrier,8.42
Izernore,Cadre,12.9
Izernore,Profession,9.09
Izernore,Employé,.96
Izernore,Ouvrier,11.21
Jassans-Riottier,Cadre,17.65
Jassans-Riottier,Profession,13.91
Jassans-Riottier,Employé,2.37
Jassans-Riottier,Ouvrier,7.55
Jujurieux,Cadre,5.16
Jujurieux,Profession,9.23
Jujurieux,Employé,7.76
Jujurieux,Ouvrier,6.6
Lagnieu,Cadre,11.84
Lagnieu,Profession,10.3
Lagnieu,Employé,9.33
Lagnieu,Ouvrier,8.18
Loyettes,Cadre,7.04
Loyettes,Profession,10.2
Loyettes,Employé,13.56
Loyettes,Ouvrier,6.36
Marboz,Cadre,11.74
Marboz,Profession,5.71
Marboz,Employé,6.36
Marboz,Ouvrier,13.68
Massieux,Cadre,10.97
Massieux,Profession,7.93
Massieux,Employé,8.73
Massieux,Ouvrier,7.42
Meximieux,Cadre,7.3
Meximieux,Profession,14.55
Meximieux,Employé,5.07
Meximieux,Ouvrier,9.52
Mézériat,Cadre,12.58
Mézériat,Profession,9.96
Mézériat,Employé,10.41
Mézériat,Ouvrier,7.62
Mionnay,Cadre,13.08
Mionnay,Profession,7.95
Mionnay,Employé,8.94
Mionnay,Ouvrier,9.77
Miribel,Cadre,7.66
Miribel,Profession,3.68
Miribel,Employé,1.37
Miribel,Ouvrier,5.94
Montluel,Cadre,11.11
Montluel,Profession,5.56
Montluel,Employé,3.14
Montluel,Ouvrier,5.99
Montmerle-sur-Saône,Cadre,12.69
Montmerle-sur-Saône,Profession,8.5
Montmerle-sur-Saône,Employé,5.36
Montmerle-sur-Saône,Ouvrier,10.19
Montréal-la-Cluse,Cadre,15.63
Montréal-la-Cluse,Profession,11.83
Montréal-la-Cluse,Employé,4.42
Montréal-la-Cluse,Ouvrier,6.6
Montrevel-en-Bresse,Cadre,5.43
Montrevel-en-Bresse,Profession,8.9
Montrevel-en-Bresse,Employé,4.95
Montrevel-en-Bresse,Ouvrier,9.18
Nantua,Cadre,7.27
Nantua,Profession,3.47
Nantua,Employé,1.44
Nantua,Ouvrier,5.47
Neyron,Cadre,16.38
Neyron,Profession,7.49
Neyron,Employé,11.94
Neyron,Ouvrier,2.59
Ornex,Cadre,3.17
Ornex,Profession,2.88
Ornex,Employé,5.37
Ornex,Ouvrier,15.42
Oyonnax,Cadre,10.76
Oyonnax,Profession,10.29
Oyonnax,Employé,.49
Oyonnax,Ouvrier,7.07
Péron,Cadre,16.43
Péron,Profession,11.42
Péron,Employé,.97
Péron,Ouvrier,9.68
Péronnas,Cadre,8.17
Péronnas,Profession,6.99
Péronnas,Employé,5.07
Péronnas,Ouvrier,9.09
Polliat,Cadre,9.44
Polliat,Profession,4.73
Polliat,Employé,8.04
Polliat,Ouvrier,7.48
Pont-d'Ain,Cadre,13.99
Pont-d'Ain,Profession,9.15
Pont-d'Ain,Employé,4.67
Pont-d'Ain,Ouvrier,6.48
Pont-de-Vaux,Cadre,19.55
Pont-de-Vaux,Profession,6.72
Pont-de-Vaux,Employé,2.91
Pont-de-Vaux,Ouvrier,6.8
Prévessin-Moëns,Cadre,.83
Prévessin-Moëns,Profession,5.06
Prévessin-Moëns,Employé,.0
Prévessin-Moëns,Ouvrier,8.92
Replonges,Cadre,7.23
Replonges,Profession,9.49
Replonges,Employé,7.83
Replonges,Ouvrier,6.67
Reyrieux,Cadre,11.58
Reyrieux,Profession,11.87
Reyrieux,Employé,7.88
Reyrieux,Ouvrier,7.14
Saint-André-de-Corcy,Cadre,9.89
Saint-André-de-Corcy,Profession,7.4
Saint-André-de-Corcy,Employé,5.31
Saint-André-de-Corcy,Ouvrier,5.5
Saint-Denis-lès-Bourg,Cadre,6.25
Saint-Denis-lès-Bourg,Profession,4.83
Saint-Denis-lès-Bourg,Employé,4.11
Saint-Denis-lès-Bourg,Ouvrier,8.92
Saint-Denis-en-Bugey,Cadre,13.94
Saint-Denis-en-Bugey,Profession,11.03
Saint-Denis-en-Bugey,Employé,1.9
Saint-Denis-en-Bugey,Ouvrier,9.5
Saint-Didier-sur-Chalaronne,Cadre,16.23
Saint-Didier-sur-Chalaronne,Profession,12.89
Saint-Didier-sur-Chalaronne,Employé,7.27
Saint-Didier-sur-Chalaronne,Ouvrier,11.0
Saint-Étienne-du-Bois,Cadre,7.08
Saint-Étienne-du-Bois,Profession,9.59
Saint-Étienne-du-Bois,Employé,5.94
Saint-Étienne-du-Bois,Ouvrier,7.91
Saint-Genis-Pouilly,Cadre,7.96
Saint-Genis-Pouilly,Profession,2.9
Saint-Genis-Pouilly,Employé,.0
Saint-Genis-Pouilly,Ouvrier,12.75
Saint-Maurice-de-Beynost,Cadre,9.63
Saint-Maurice-de-Beynost,Profession,6.94
Saint-Maurice-de-Beynost,Employé,4.07
Saint-Maurice-de-Beynost,Ouvrier,8.33
Saint-Maurice-de-Gourdans,Cadre,7.02
Saint-Maurice-de-Gourdans,Profession,8.74
Saint-Maurice-de-Gourdans,Employé,8.13
Saint-Maurice-de-Gourdans,Ouvrier,7.42
Saint-Rambert-en-Bugey,Cadre,19.45
Saint-Rambert-en-Bugey,Profession,10.61
Saint-Rambert-en-Bugey,Employé,.0
Saint-Rambert-en-Bugey,Ouvrier,6.16
Ségny,Cadre,9.41
Ségny,Profession,11.27
Ségny,Employé,2.78
Ségny,Ouvrier,8.63
Thoiry,Cadre,31.69
Thoiry,Profession,7.8
Thoiry,Employé,.97
Thoiry,Ouvrier,6.36
Val-Revermont,Cadre,9.09
Val-Revermont,Profession,6.72
Val-Revermont,Employé,3.67
Val-Revermont,Ouvrier,10.77
Trévoux,Cadre,11.69
Trévoux,Profession,6.98
Trévoux,Employé,5.99
Trévoux,Ouvrier,7.55
Versonnex,Cadre,12.17
Versonnex,Profession,22.7
Versonnex,Employé,2.0
Versonnex,Ouvrier,11.0
Villars-les-Dombes,Cadre,10.02
Villars-les-Dombes,Profession,9.68
Villars-les-Dombes,Employé,4.63
Villars-les-Dombes,Ouvrier,10.0
Villieu-Loyes-Mollon,Cadre,6.52
Villieu-Loyes-Mollon,Profession,10.67
Villieu-Loyes-Mollon,Employé,.91
Villieu-Loyes-Mollon,Ouvrier,8.44
Viriat,Cadre,14.97
Viriat,Profession,6.12
Viriat,Employé,3.64
Viriat,Ouvrier,7.11
Vonnas,Cadre,17.26
Vonnas,Profession,5.19
Vonnas,Employé,6.34
Vonnas,Ouvrier,3.77
Anizy-le-Grand,Cadre,8.83
Anizy-le-Grand,Profession,6.86
Anizy-le-Grand,Employé,6.86
Anizy-le-Grand,Ouvrier,9.28
Athies-sous-Laon,Cadre,1.42
Athies-sous-Laon,Profession,9.15
Athies-sous-Laon,Employé,3.23
Athies-sous-Laon,Ouvrier,9.27
Beautor,Cadre,7.26
Beautor,Profession,15.75
Beautor,Employé,.0
Beautor,Ouvrier,14.15
Belleu,Cadre,.51
Belleu,Profession,7.53
Belleu,Employé,4.76
Belleu,Ouvrier,10.24
Bohain-en-Vermandois,Cadre,8.13
Bohain-en-Vermandois,Profession,9.6
Bohain-en-Vermandois,Employé,3.7
Bohain-en-Vermandois,Ouvrier,8.13
Braine,Cadre,20.0
Braine,Profession,8.16
Braine,Employé,8.92
Braine,Ouvrier,7.62
Charly-sur-Marne,Cadre,9.0
Charly-sur-Marne,Profession,5.23
Charly-sur-Marne,Employé,2.28
Charly-sur-Marne,Ouvrier,5.26
Château-Thierry,Cadre,15.22
Château-Thierry,Profession,6.09
Château-Thierry,Employé,3.35
Château-Thierry,Ouvrier,5.71
Chauny,Cadre,11.98
Chauny,Profession,7.75
Chauny,Employé,3.52
Chauny,Ouvrier,9.45
