ville,total salaire (homme et femme)
Ambérieu-en-Bugey,14.662
Ambronay,14.212
Arbent,16.85
Attignat,13.925
Bâgé-Dommartin,14.288
Balan,14.775
Bellignat,14.35
Béligneux,15.088
Valserhône,13.662
Belley,14.012
Beynost,16.325
La Boisse,15.538
Bourg-en-Bresse,13.8
Cessy,15.425
Ceyzériat,14.812
Chalamont,14.687
Château-Gaillard,14.412
Châtillon-sur-Chalaronne,14.125
Collonges,13.65
Bresse Vallons,14.05
Crozet,14.45
Culoz,14.063
Dagneux,15.025
Divonne-les-Bains,16.938
Échenevex,18.3
Fareins,15.175
Feillens,13.988
Ferney-Voltaire,14.825
Foissiat,13.675
Frans,14.738
Gex,14.0
Plateau d'Hauteville,13.662
Izernore,13.85
Jassans-Riottier,14.588
Jujurieux,13.862
Lagnieu,15.025
Loyettes,14.7
Marboz,13.95
Massieux,16.15
Meximieux,15.712
Mézériat,14.438
Mionnay,15.462
Miribel,15.087
Montluel,14.838
Montmerle-sur-Saône,15.138
Montréal-la-Cluse,14.0
Montrevel-en-Bresse,13.362
Nantua,14.725
Neyron,17.412
Ornex,14.512
Oyonnax,13.987
Péron,14.225
Péronnas,14.563
Polliat,14.738
Pont-d'Ain,13.838
Pont-de-Vaux,14.0
Prévessin-Moëns,16.162
Replonges,14.288
Reyrieux,16.288
Saint-André-de-Corcy,15.375
Saint-Denis-lès-Bourg,14.625
Saint-Denis-en-Bugey,14.1
Saint-Didier-sur-Chalaronne,14.65
Saint-Étienne-du-Bois,14.725
Saint-Genis-Pouilly,14.15
Saint-Maurice-de-Beynost,14.513
Saint-Maurice-de-Gourdans,15.5
Saint-Rambert-en-Bugey,12.875
Ségny,15.638
Thoiry,15.6
Val-Revermont,13.875
Trévoux,14.9
Versonnex,14.425
Villars-les-Dombes,13.8
Villieu-Loyes-Mollon,15.062
Viriat,14.825
Vonnas,14.238
Anizy-le-Grand,13.675
Athies-sous-Laon,14.1
Beautor,13.862
Belleu,13.6
Bohain-en-Vermandois,13.325
Braine,14.462
Charly-sur-Marne,14.175
Château-Thierry,14.475
Chauny,13.975
Crouy,13.625
Essômes-sur-Marne,14.675
Fère-en-Tardenois,15.875
La Ferté-Milon,14.988
Fresnoy-le-Grand,14.2
Gauchy,13.775
Villeneuve-sur-Aisne,14.513
Guise,13.338
Hirson,13.625
Laon,13.462
Marle,15.0
Neuilly-Saint-Front,14.1
Nogent-l'Artaud,15.412
Le Nouvion-en-Thiérache,14.375
Saint-Gobain,13.825
Saint-Michel,13.575
Saint-Quentin,13.962
Sinceny,14.512
Sissonne,12.425
Soissons,13.95
Tergnier,13.625
Vervins,14.775
Villeneuve-Saint-Germain,13.312
Villers-Cotterêts,14.975
Abrest,13.662
Avermes,13.263
Bellerive-sur-Allier,15.175
Bourbon-l'Archambault,13.375
Commentry,14.4
Cosne-d'Allier,13.688
Creuzier-le-Vieux,14.238
Cusset,14.338
Désertines,13.75
Domérat,13.95
Dompierre-sur-Besbre,14.612
Gannat,13.775
Huriel,13.238
Lapalisse,12.188
Montluçon,13.462
Moulins,13.413
Néris-les-Bains,15.4
Prémilhat,14.45
Saint-Germain-des-Fossés,13.612
Saint-Pourçain-sur-Sioule,13.4
Saint-Victor,14.375
Saint-Yorre,14.138
Varennes-sur-Allier,13.362
Vendat,13.925
Vichy,14.125
Yzeure,13.85
Barcelonnette,12.212
Château-Arnoux-Saint-Auban,14.062
Digne-les-Bains,12.875
Forcalquier,13.612
Gréoux-les-Bains,14.088
Manosque,14.25
Les Mées,12.988
Oraison,14.038
Peyruis,13.587
Pierrevert,15.65
Sainte-Tulle,14.15
Sisteron,13.862
Valensole,13.538
Villeneuve,14.688
Volx,14.212
L'Argentière-la-Bessée,13.3
La Bâtie-Neuve,14.35
Briançon,13.938
Chorges,13.138
Embrun,13.0
Gap,13.25
Guillestre,12.462
Laragne-Montéglin,12.675
Saint-Bonnet-en-Champsaur,13.075
Tallard,13.838
Veynes,13.15
Antibes,14.537
Auribeau-sur-Siagne,15.662
Le Bar-sur-Loup,16.562
Beaulieu-sur-Mer,14.7
Beausoleil,13.662
Biot,16.888
Breil-sur-Roya,13.35
Cagnes-sur-Mer,14.862
Cannes,14.788
Le Cannet,14.675
Cap-d'Ail,24.562
Carros,14.612
Châteauneuf-Grasse,17.15
La Colle-sur-Loup,16.6
Colomars,15.888
Contes,13.975
Drap,13.838
L'Escarène,13.987
Èze,15.975
Gattières,15.162
La Gaude,16.638
Grasse,15.338
Levens,15.25
Mandelieu-la-Napoule,15.05
Menton,13.6
Mouans-Sartoux,16.325
Mougins,15.95
Nice,14.5
Opio,18.075
Pégomas,14.738
Peille,15.738
Peymeinade,15.862
Roquebrune-Cap-Martin,14.312
Roquefort-les-Pins,18.05
La Roquette-sur-Siagne,15.575
Le Rouret,17.425
Saint-André-de-la-Roche,14.562
Saint-Cézaire-sur-Siagne,15.487
Saint-Jeannet,16.425
Saint-Laurent-du-Var,15.025
Saint-Martin-du-Var,14.75
Saint-Paul-de-Vence,18.625
Saint-Vallier-de-Thiey,15.275
Sospel,13.087
Le Tignet,15.8
Tourrette-Levens,14.512
Tourrettes-sur-Loup,16.388
La Trinité,14.638
La Turbie,18.2
Valbonne,16.362
Vallauris,14.463
Vence,15.825
Villefranche-sur-Mer,15.612
Villeneuve-Loubet,15.45
Tende,13.1
Annonay,14.412
Aubenas,13.212
Boulieu-lès-Annonay,14.463
Bourg-Saint-Andéol,14.538
Charmes-sur-Rhône,14.938
Le Cheylard,13.838
Chomérac,13.975
Cornas,13.65
Cruas,14.775
Davézieux,14.663
Guilherand-Granges,14.175
Lablachère,13.413
Lamastre,11.8
Lavilledieu,14.013
Peaugres,14.788
Le Pouzin,14.275
Privas,13.912
Rochemaure,15.662
Roiffieux,14.012
Ruoms,12.763
Saint-Agrève,12.45
Saint-Étienne-de-Fontbellon,14.25
Saint-Georges-les-Bains,14.3
Saint-Jean-de-Muzols,14.75
Saint-Marcel-d'Ardèche,14.763
Saint-Péray,15.337
Sarras,14.05
Soyons,14.663
Le Teil,13.962
Tournon-sur-Rhône,14.462
Ucel,14.225
Vallon-Pont-d'Arc,13.337
Vals-les-Bains,13.312
Les Vans,12.888
Vernosc-lès-Annonay,14.725
Villeneuve-de-Berg,13.175
Viviers,14.038
La Voulte-sur-Rhône,13.75
Bazeilles,13.7
Bogny-sur-Meuse,13.838
Carignan,13.663
Charleville-Mézières,13.962
Donchery,13.462
Douzy,15.975
Floing,14.762
Fumay,12.712
Givet,15.238
Monthermé,14.338
Mouzon,13.612
Nouvion-sur-Meuse,13.912
Nouzonville,13.425
Rethel,13.988
Revin,13.788
Sedan,13.575
Villers-Semeuse,14.738
Vivier-au-Court,14.75
Vouziers,13.275
Vrigne aux Bois,14.462
Foix,13.663
Laroque-d'Olmes,13.35
Lavelanet,13.688
Lézat-sur-Lèze,14.5
Mazères,13.525
Mirepoix,13.913
Pamiers,13.438
Saint-Girons,13.738
Saint-Jean-du-Falga,14.475
Saverdun,13.775
Tarascon-sur-Ariège,13.575
La Tour-du-Crieu,13.85
Varilhes,13.925
Verniolle,14.775
Aix-Villemaur-Pâlis,13.675
Arcis-sur-Aube,13.312
Bar-sur-Aube,14.075
Bar-sur-Seine,14.125
Bréviandes,14.587
Brienne-le-Château,14.0
La Chapelle-Saint-Luc,13.512
Lusigny-sur-Barse,14.662
Les Noës-près-Troyes,13.325
Nogent-sur-Seine,15.837
Pont-Sainte-Marie,13.775
La Rivière-de-Corps,15.1
Romilly-sur-Seine,13.7
Rosières-près-Troyes,14.912
Saint-André-les-Vergers,14.338
Saint-Germain,14.45
Saint-Julien-les-Villas,14.175
Saint-Lyé,14.4
Saint-Parres-aux-Tertres,14.4
Sainte-Savine,14.15
Troyes,13.462
Vendeuvre-sur-Barse,13.612
Villenauxe-la-Grande,15.3
Argeliers,13.225
Bram,13.112
Carcassonne,13.225
Castelnaudary,13.412
Conques-sur-Orbiel,13.438
Coursan,13.35
Cuxac-d'Aude,13.163
Fleury,12.55
Gruissan,13.375
Leucate,12.825
Lézignan-Corbières,13.638
